SONARBAINS,63.70,Insurance,A,1.5,2.63,2.09,19.62,2020
SONARGAON,26.30,Textile,B,-,0.4, n/a ,11.08,2021
SOUTHEASTB,15.30,Bank,A,1.0,4.2,1.82,24.98,2020
SPCERAMICS,27.70,Ceramics Sector,B,0.25,0.2,0.32,30.63,2021
SPCL,81.00,Fuel & Power,A,4.42,6.64,4.47,34.94,2020
SQUARETEXT,65.10,Textile,A,2.0,9.35,3.41,38.69,2021
SQURPHARMA,224.80,Pharmaceuticals & Chemicals,A,6.0,21.76,17.98,102.54,2021
SSSTEEL,19.20,Engineering,A,1.74,2.92,1.55,17.48,2020
STANCERAM,179.90,Ceramics Sector,B,0.1,-,0.24,9.72,2021
STANDARINS,71.50,Insurance,A,1.25,2.96,2.07,19.09,2020
STANDBANKL,10.20,Bank,A,0.51,0.38,1.09,16.67,2020
STYLECRAFT,136.80,Textile,A,-,-, n/a ,22.18,2021
SUMITPOWER,38.80,Fuel & Power,A,3.5,4.04,5.25,34.45,2021
SUNLIFEINS,36.70,Insurance,B,0.1,-,-,-,2020
TAKAFULINS,71.90,Insurance,A,1.0,2.29,1.65,17.97,2020
TALLUSPIN,11.00,Textile,Z,-,-, n/a ,11.97,2019
TAMIJTEX,259.60,Textile,A,2.0,5.2,2.05,82.3,2021
